event_id,event_date,event_title,landslide_trigger,landslide_size,landslide_setting,country_name,state,latitude,longitude,fatality_count,injury_count
1129,2009-08-30 00:00:00,"Road stretch from Gammom to Chamu village, under Kamjong block, Ukhrul district, Manipur",downpour,medium,unknown,India,Manipur,24.8628,94.4182,,
1168,2009-09-17 00:00:00,"4th Mile on road between Rongli, Rhenock and Rangpo in East Sikkim.",rain,medium,unknown,India,Sikkim,27.1954,88.6115,,
1222,2009-10-05 00:00:00,"Chhinga Veng, Aizawl",downpour,medium,urban,India,Mizoram,23.73478778,92.72124394,3.0,
1596,2010-03-27 20:00:00,"LangthAbal Khoupum, Imphal, Manipur",downpour,medium,unknown,India,Manipur,24.7339,93.9161,0.0,
1611,2010-04-01 00:00:00,"Paglanala village, Dholai Block, near Dwarbandh locality of the district, Cachar district (could only find district) 45 km from Silchar, Assam",downpour,medium,unknown,India,Assam,25.1553,93.028,3.0,
1613,2010-04-02 23:00:00,"Koloriang, Kuring Kumey district, Arunachal Pradesh",downpour,large,unknown,India,Arunachal Pradesh,27.8997,93.3497,12.0,
1756,2010-04-17 00:00:00,"Nam Nang, Gangtok",downpour,small,unknown,India,Sikkim,27.322,88.6087,0.0,
1755,2010-04-17 15:00:00,"Natl. Highway 31-A at Pani House(?), Gangtok",downpour,small,unknown,India,Sikkim,27.3341,88.6083,0.0,
1770,2010-04-20 00:00:00,"Kharghuli, Guwahati, Assam",downpour,medium,unknown,India,Assam,26.1965,91.763,0.0,
1771,2010-04-20 00:00:00,"Raj Bhavan Guwahati, Assam",downpour,medium,unknown,India,Assam,26.1978,91.7665,0.0,
1776,2010-04-21 00:00:00,Shillong-Jowai(Jwai)-Badarpur National Highway(NH 44) at Sunapur village in Jaintia Hills District,downpour,medium,unknown,India,Meghalaya,25.3612,92.2845,0.0,
1775,2010-04-21 00:00:00,Arunachal Pradesh ,downpour,medium,unknown,India,Arunachal Pradesh,27.8965,96.1779,12.0,
1857,2010-05-11 09:00:00,"National highway 44 at Sunapur and Tongseng in Jaintia Hills district, eastern Meghalaya",downpour,medium,unknown,India,Meghalaya,25.3433,92.2897,0.0,
1930,2010-05-31 00:00:00,"Anini-Roing road,  Dibang Valley,  Arunachal Pradesh ",downpour,medium,unknown,India,Arunachal Pradesh,28.4298,95.8776,0.0,
1929,2010-05-31 23:00:00,"North Sikkiim Highway, periphery of Gangtok, Sikkim East district",downpour,medium,unknown,India,Sikkim,27.3543,88.6428,0.0,
1935,2010-06-03 00:00:00,"atharamura hills, Highway 44, Tripura",downpour,medium,unknown,India,Tripura,23.8986,91.7599,0.0,
1934,2010-06-03 05:00:00,Rongpur village under Bhairabhnagar panchayat in Karimganj district,downpour,medium,unknown,India,Assam,24.6005,92.3814,2.0,
1954,2010-06-07 00:00:00,"Irang(?) and Barak(?) and Makru(?) on highway 53 between Imphal and Jiribam, Manipur",rain,medium,unknown,India,Manipur,24.7543,93.5039,0.0,
1961,2010-06-09 14:15:00,"Ishok Chingphu(?), Bishnupur, Assam",downpour,medium,unknown,India,Meghalaya,25.8833,91.2,0.0,
1987,2010-06-15 00:00:00,"rails between Mahur and Wadringdisa(?), Assam",downpour,medium,unknown,India,Assam,25.2269,93.1658,0.0,
1986,2010-06-15 00:00:00,"Fazl Ali College, Mokokchung, Nagaland",downpour,medium,unknown,India,Nagaland,26.3335,94.5512,0.0,
1994,2010-06-16 00:00:00,"rails between Jatinga and Longrangjao(?), Assam",downpour,medium,unknown,India,Assam,25.0633,92.8025,0.0,
1996,2010-06-17 19:30:00,"Shayoung Ward(?), Longleng, Nagaland",downpour,medium,unknown,India,Nagaland,26.4333,94.8833,0.0,
2026,2010-06-28 00:00:00,"Borsorsa(?), West Khasi Hills, Meghalaya",downpour,medium,unknown,India,Meghalaya,25.4916,91.2698,0.0,
2025,2010-06-28 00:00:00,"Police CID complex(?), Shillong, Meghalaya",downpour,medium,unknown,India,Meghalaya,25.5728,91.885,1.0,
2045,2010-07-06 00:00:00,"Tuensang, Nagaland",monsoon,medium,unknown,India,Nagaland,26.2363,94.8133,0.0,
2043,2010-07-06 00:00:00,"Mon, Nagaland",monsoon,medium,unknown,India,Nagaland,26.7225,95.0281,0.0,
2042,2010-07-06 00:00:00,"Zunheboto, Nagaland",monsoon,medium,unknown,India,Nagaland,26.0093,94.5238,0.0,
2044,2010-07-06 00:00:00,"Kiphire,  Nagaland",monsoon,medium,unknown,India,Nagaland,25.8877,94.7861,0.0,
2098,2010-07-19 06:00:00,"Jahjon ward(?), Mon town, Nagaland",downpour,medium,unknown,India,Nagaland,26.7215,95.0283,0.0,
2106,2010-07-20 00:00:00,"road to Oting near Longlam village, 13 km from Tizit subdivision, Mon district, Nagaland",downpour,medium,unknown,India,Nagaland,26.8716,94.9921,0.0,
2113,2010-07-21 08:00:00,"Singtam-Mangan rd, Sikkim",downpour,medium,unknown,India,Sikkim,27.3773,88.559,0.0,
2140,2010-07-25 00:00:00,"road between Halfong and Redzol(?) or Silchar, Assam",downpour,medium,unknown,India,Assam,25.0477,92.801,0.0,
2163,2010-07-29 00:00:00,"Maram area in Senapati district, National Highway 39",downpour,medium,unknown,India,Nagaland,25.4196,94.1054,0.0,
2166,2010-07-29 00:00:00,"Highway 53 at Tupul, Tamenglong district",downpour,medium,unknown,India,Assam,24.9786,93.5027,0.0,
2164,2010-07-29 23:00:00,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",downpour,medium,unknown,India,Manipur,25.3098633,94.48214677,0.0,
2182,2010-07-31 09:00:00,Dimapur-Imphal highway (NH 39) near Manipur,rain,medium,unknown,India,Manipur,24.9356,93.8443,0.0,
2205,2010-08-06 00:00:00,"Dawrpui Vengthar cemetary, Aizwal, Mizoram",downpour,medium,unknown,India,Mizoram,23.7365,92.7146,0.0,
2243,2010-08-13 00:00:00,"NH-39 near Kohima Municipality Council(KMC) dumping ground, between Zubza(Sechu) and Kohima, Nagaland",downpour,medium,mine,India,Nagaland,25.70223725,94.04619681,0.0,
2247,2010-08-14 00:00:00,"Tuensang-Shamatore(Sampurre) rd, Nagaland",downpour,medium,unknown,India,Nagaland,26.148,94.8422,0.0,
2248,2010-08-14 00:00:00,"Noklak-Tuensang road, Nagaland",downpour,medium,unknown,India,Nagaland,26.222,94.9152,0.0,
2249,2010-08-14 00:00:00,"Kiphire-Tuensang rd, Nagaland",downpour,medium,unknown,India,Nagaland,26.0814,94.803,0.0,
2253,2010-08-15 23:00:00,"Chingai-Kuingai(Quingai) route (16 kms), Chingai subdivision, Ukhrul district, Manipur",downpour,medium,unknown,India,Manipur,25.31006064,94.48265093,0.0,
2263,2010-08-17 00:00:00,"Dikhu bridge(?), Mokokchung-Tuensang road, Nagaland",downpour,medium,unknown,India,Nagaland,26.2753,94.6654,0.0,
2283,2010-08-19 00:00:00,"2 km from Khongsang village(?), road between Tamenglong and Imphal or Nungba, Manipur",downpour,medium,unknown,India,Manipur,24.8961,93.4957,0.0,
2282,2010-08-19 06:30:00,"Tuensang-Kohima rd, 3 km outside Tuensang, Nagaland",downpour,medium,unknown,India,Nagaland,26.1984,94.8158,0.0,
2281,2010-08-19 18:00:00,"Kisima, Nagaland",downpour,medium,above_road,India,Nagaland,25.61560252,94.11603493,,
2296,2010-08-20 00:00:00,"many locations around Namchi, Sikkim",downpour,medium,unknown,India,Sikkim,27.167,88.3652,0.0,
2304,2010-08-21 18:00:00,"NH 39 at Kigwema(?), between Mao Gate and Kohima, Nagaland",downpour,medium,unknown,India,Nagaland,25.5718,94.1211,0.0,
2344,2010-08-27 16:30:00,"NH-53 at Nungba police station, Kambirong(?), Manipur",downpour,medium,unknown,India,Assam,24.7505,93.4221,0.0,
2343,2010-08-27 16:30:00,"NH-39 at Ekai village(?), 2 km for Tadubi, Manipur",downpour,medium,unknown,India,Nagaland,25.4786,94.1327,0.0,
2345,2010-08-27 18:00:00,"Daragaon(?), Gangtok city, Sikkim",downpour,medium,unknown,India,Sikkim,27.3392,88.6188,0.0,
2392,2010-09-04 00:00:00,"17th mile(?), Jawaharlal Nehru Marg hwy, between Gangtok and Nathu La, Sikkim",downpour,medium,unknown,India,Sikkim,27.3702,88.7334,0.0,
2405,2010-09-09 23:00:00,"Mossing(Mosing) village(?), Upper Siang district, Arunachal Pradesh",downpour,medium,unknown,India,Arunachal Pradesh,28.3036,95.4112,10.0,
2411,2010-09-10 00:00:00,"districts Lakhimpur, Dhemaji, Golaghat, and Sonitpur, Assam province",downpour,medium,unknown,India,Arunachal Pradesh,27.0011,93.7273,0.0,
2415,2010-09-12 00:00:00,power lines 5 km from Kohima,downpour,medium,unknown,India,Nagaland,25.63961883,94.11112157,,
2420,2010-09-13 00:00:00,"Tuikual 'C', Aizawl, Mizoram",downpour,medium,urban,India,Mizoram,23.72988966,92.71495623,1.0,
2425,2010-09-13 00:00:00,"near Tuichang(?) on Tuichang river, Aizawl-Champhai rd, Mizoram",downpour,medium,unknown,India,Mizoram,23.3439,93.0748,0.0,
2423,2010-09-13 00:00:00,"road to Kanan Veng from Hunthar Veng, Mizoram",downpour,medium,above_road,India,Mizoram,23.73504471,92.71060943,,
2424,2010-09-13 00:00:00,"near Tuivawl(?), Aizawl-Champhai rd, Aizawl district, Mizoram",downpour,medium,unknown,India,Mizoram,23.591,92.9296,0.0,
2426,2010-09-13 00:00:00,"Hual(Hu) village(?), Lunglei-Lawngtlai rd, Mizoram",downpour,medium,unknown,India,Mizoram,22.7176,92.8416,0.0,
2422,2010-09-13 00:00:00,"Hunthar Veng, Mizoram",downpour,medium,urban,India,Mizoram,23.74182634,92.7141905,,
2421,2010-09-13 09:00:00,"road to Muanna Godown, Zuangtui, Mizoram",downpour,medium,above_road,India,Mizoram,23.75406693,92.74128531,,
2437,2010-09-16 00:00:00,"Aizawl-Lengpui rd 3km from Aizawl, Mizoram, Manipur",downpour,medium,unknown,India,Mizoram,23.7527,92.694,0.0,
2436,2010-09-16 03:00:00,"Taithu village, Churanchandpur district, Mizoram, Manipur",downpour,medium,unknown,India,Mizoram,24.3069,93.125,0.0,
2539,2010-10-03 00:00:00,"Mosing village, Upper Siang district, Arunachal Pradesh",downpour,medium,unknown,India,Arunachal Pradesh,28.3092,95.4149,10.0,
2569,2010-10-08 00:00:00,"Bungte Chiru village(?), Senapati district, Manipur",downpour,medium,unknown,India,Nagaland,25.2745,94.0212,0.0,
2570,2010-10-08 00:00:00,"Tharon(?) and Langol Tarung villages, Thangmeiband constituency, Imphal, Manipur",downpour,medium,unknown,India,Manipur,24.837,93.9128,0.0,
2566,2010-10-08 00:00:00,"Sahong, Tabu and Pani village under Tadubi police station of Senapati district, NH-39",downpour,medium,unknown,India,Nagaland,25.4769,94.1351,0.0,
2567,2010-10-08 00:00:00,"Phek, Manipur",downpour,medium,unknown,India,Manipur,25.6633,94.4703,0.0,
2568,2010-10-08 00:00:00,"Nungba, Tamenglong, Manipur",downpour,medium,unknown,India,Assam,24.7679,93.4108,0.0,
2576,2010-10-09 00:00:00,"NH-39 at Tobio village(?), 7 km form Tadubi, Manipur",downpour,medium,unknown,India,Nagaland,25.4788,94.1399,0.0,
2575,2010-10-09 00:00:00,"road between Haflong and Lanka, Assam",downpour,medium,unknown,India,Assam,25.5242,92.9914,0.0,
2579,2010-10-09 00:00:00,"Lower Pezielietsie(Tinpati), Kohima, Manipur",downpour,medium,unknown,India,Nagaland,25.682,94.1076,0.0,
2578,2010-10-09 00:00:00,"NH-39 in Karong area, Manipur",downpour,medium,unknown,India,Nagaland,25.3179,94.0462,0.0,
2577,2010-10-09 00:00:00,"NH-39 near Khongnem(?) village, between Imphal and Dimapur, Manipur",downpour,medium,unknown,India,Nagaland,25.5265,93.8673,0.0,
2573,2010-10-09 00:00:00,"Haflong, Assam",downpour,medium,unknown,India,Assam,25.1796,93.0083,1.0,
2574,2010-10-09 00:00:00,"between Mahur and Maigrandisa(?) or Lumding, Assam",downpour,medium,unknown,India,Assam,25.4749,93.1477,0.0,
2587,2010-10-10 06:00:00,"Lower Chandmari area, PWD department, Kohima, Manipur",downpour,medium,unknown,India,Nagaland,25.6623,94.1072,0.0,
2743,2010-11-22 00:00:00,"Tawang Monastery, Arunachal Pradesh",unknown,medium,natural_slope,India,Arunachal Pradesh,27.5798729,91.85672387,,
3269,2011-03-22 00:00:00,"road from other districts to Hawai(Tawai?) which is  on Lojit river, near Hayuliang,  Anjaw district, Arunachal Pradesh",downpour,medium,unknown,India,Arunachal Pradesh,28.0791,96.5242,0.0,
3525,2011-05-22 00:00:00,"Kaiphundai(?)-Tousem(in Assam) road, Tamenglong district, Manipur",downpour,medium,unknown,India,Assam,25.0672,93.4093,0.0,
3532,2011-05-24 00:00:00,"Silchar-Haflong rd., at Reko(Rekha )(?), near Harangajao, Barail Hills, Assam",downpour,medium,unknown,India,Assam,25.0888,92.8551,0.0,
3556,2011-05-31 14:00:00,"Roads between Tamei(Tamma?), Kangpokpi and Chalwa, Manipur",continuous_rain,small,unknown,India,Manipur,25.1555,93.8474,0.0,
3560,2011-05-31 14:30:00,"Gaoilung(Gadailong) village(?), Ward 4(?), Tamenglong, Manipur",downpour,medium,unknown,India,Manipur,24.8286,93.5935,2.0,
3633,2011-06-20 00:00:00,Mokokchung,downpour,medium,unknown,India,Nagaland,26.3186,94.5121,0.0,
3637,2011-06-21 00:00:00,"Lasumi village in Phek district, Kohima",rain,medium,deforested_slope,India,Nagaland,25.51614662,94.2341227,,
3663,2011-06-28 00:00:00,"Ruzapfu valley, Kikruma Village, Phek District, Nagaland",downpour,medium,unknown,India,Nagaland,25.6682,94.1099,0.0,
3662,2011-06-28 00:00:00,"Ikou-Gangpijang road, near: Ikou, Saikul, and Gangpijang; Imphal India",rain,medium,below_road,India,Manipur,25.03561729,94.0144205,,
3672,2011-06-29 00:00:00,"Portions of NH 39, Connectin Manipur with Assam via Nagaland",downpour,medium,unknown,India,Assam,25.5125,93.3613,0.0,
3683,2011-07-01 00:00:00,NH-61 between Botsa and Chiechama,downpour,medium,unknown,India,Nagaland,25.8782,94.1739,0.0,
3738,2011-07-06 00:00:00,"National Highway 53, Sinam Khul (near Kotlen; ~25 km from Imphal)",downpour,medium,unknown,India,Manipur,24.8063,93.9482,6.0,
3741,2011-07-07 00:00:00,Maram (80 km north of Imphal),rain,medium,unknown,India,Nagaland,25.4191,94.1079,0.0,
3760,2011-07-11 09:00:00,"NH-61, 1 km before reaching Botsa",downpour,medium,unknown,India,Nagaland,25.6703,94.1095,0.0,
3776,2011-07-15 18:00:00,Itanagar/Naharlagur/Nirjuli,downpour,small,unknown,India,Arunachal Pradesh,27.125,93.7145,0.0,
3789,2011-07-16 00:00:00,Mebua (8 km from Seppa),downpour,medium,unknown,India,Arunachal Pradesh,27.2743,92.9064,0.0,
3794,2011-07-17 00:00:00,West Bengal-Sikkim at highway Rambi,rain,medium,above_road,India,Sikkim,26.99195749,88.42280921,,
3805,2011-07-19 00:00:00,200 meters from Teesta Bridge towards Siliguri,rain,medium,above_road,India,Sikkim,27.05374234,88.42572376,0.0,
3806,2011-07-19 00:00:00,"Itanagar (one near Pachali power house, one near Heema Hospital, and one nearRomik Colony at P Sector)",downpour,medium,unknown,India,Arunachal Pradesh,27.1032,93.6884,3.0,
3830,2011-07-22 00:00:00,Manipur,downpour,small,unknown,India,Manipur,24.3527,94.3429,0.0,
3831,2011-07-22 00:00:00,Heibok Hills,downpour,medium,unknown,India,Manipur,24.7992,93.948,0.0,
3837,2011-07-24 12:30:00,NH 37,downpour,medium,unknown,India,Assam,26.5836,93.0038,0.0,
3840,2011-07-25 00:00:00,Manipur,downpour,medium,unknown,India,Manipur,24.6869,93.9157,0.0,
3860,2011-07-29 00:00:00,"Maram, Manipur",rain,medium,unknown,India,Nagaland,25.4192,94.108,0.0,
3881,2011-08-05 00:00:00,Itanagar,downpour,medium,unknown,India,Arunachal Pradesh,27.1034,93.6885,0.0,
3912,2011-08-12 00:00:00,East Kameng district in Arunachal Pradesh bordering China,rain,medium,unknown,India,Arunachal Pradesh,27.44,92.2833,0.0,
3916,2011-08-13 08:00:00,"Chumukedima, Dimapur",downpour,medium,unknown,India,Assam,25.7713,93.8067,0.0,
3925,2011-08-15 00:00:00,"East Kameng, Arunachal Pradesh",downpour,medium,unknown,India,Arunachal Pradesh,27.4888,93.0153,0.0,
3927,2011-08-16 08:00:00,"Garo Hills, Tura",downpour,medium,unknown,India,Meghalaya,25.5144,90.2167,6.0,
3932,2011-08-18 00:00:00, Botsa  and Chiechama,monsoon,medium,unknown,India,Nagaland,25.83,94.13,0.0,
3965,2011-09-06 08:00:00,NH 37 at Awang Khul ,rain,medium,unknown,India,Assam,24.808,93.117,3.0,
3983,2011-09-23 00:00:00,"Maighuli, Guwahati, Meghalaya",downpour,large,unknown,India,Assam,26.1548,91.7351,4.0,
4241,2012-03-04 00:00:00,Tamei constituency in Tamenlong district,unknown,medium,unknown,India,Manipur,25.1604,93.6795,0.0,
4313,2012-04-08 00:00:00,"Endulin Nallah, Mayodia, 17-camp, 83-camp",downpour,medium,unknown,India,Arunachal Pradesh,28.4659,95.86,0.0,
4378,2012-06-02 00:00:00,"Arunachal Pradesh, Dibang,",downpour,medium,unknown,India,Arunachal Pradesh,28.8254,96.1517,,
4377,2012-06-02 00:00:00,"Guwahati, Assam",downpour,large,unknown,India,Assam,26.1475,91.7356,,
4382,2012-06-03 00:00:00," between Harangajao and Mailongdisa, Assa,",downpour,medium,unknown,India,Assam,25.1175,92.8573,,
4383,2012-06-03 00:00:00,"between Maibang and Daotohaja, Assam",downpour,medium,unknown,India,Assam,25.3056,93.1265,,
4384,2012-06-03 00:00:00,"between Haflong and  Bagetar, Assam",downpour,medium,unknown,India,Assam,25.1775,93.0123,,
4394,2012-06-07 04:30:00,"Rolep, South Sikkim( Mapping to Rhenock 12 miles from Rolep)",rain,large,unknown,India,Sikkim,27.1748,88.6458,7.0,
4403,2012-06-10 00:00:00,"Imphal-Jiribam section of NH-37 , Manipur",downpour,very_large,unknown,India,Manipur,24.8142,93.5444,,
4407,2012-06-13 00:00:00,"NH44, Malidhor area,  Baleswar",downpour,medium,unknown,India,Assam,25.0951,92.3567,,
4408,2012-06-13 00:00:00,"NH44, Kuliang",downpour,medium,unknown,India,Meghalaya,25.5498,92.0757,,
4411,2012-06-14 04:00:00,"Tathangchen, Gangtok, Sikkim ",downpour,medium,unknown,India,Sikkim,27.339,88.6065,,
4424,2012-06-20 00:00:00,"Lalunggaon, Guwahati,  Assam",downpour,medium,unknown,India,Assam,26.149,91.7351,,
4426,2012-06-22 00:00:00,Lalunggaon near Gorchuk area,downpour,medium,unknown,India,Assam,26.1226,91.7162,3.0,
4435,2012-06-25 00:00:00,"Tirap , Arunachal Pradesh",downpour,large,unknown,India,Arunachal Pradesh,27.174,95.8011,,
4436,2012-06-25 00:00:00,"Khonsa, Arunachal Pradesh",downpour,medium,unknown,India,Arunachal Pradesh,26.9986,95.4993,,
4434,2012-06-25 18:00:00,"Sonaighuli area near Kahilipara, Guwahati City, Assam",downpour,large,unknown,India,Assam,26.1049,91.7369,1.0,
4446,2012-07-05 00:00:00,"Tuting, Upper Siang , Arunachal Pradesh",downpour,large,unknown,India,Arunachal Pradesh,28.9986,94.8885,,
4552,2012-09-14 00:00:00,"Takdah, West Bengal",downpour,medium,unknown,India,Sikkim,27.0377,88.3603,,
4556,2012-09-16 00:00:00,"Namchi to Phongla, Namchi to Melli ,Namchi to Sumbuk",downpour,medium,unknown,India,Sikkim,27.1675,88.3651,,
4570,2012-09-19 00:00:00, Arunachal Pradesh ,downpour,medium,unknown,India,Arunachal Pradesh,27.8458,95.2253,,
4610,2012-11-11 00:00:00,"Dapchhuah, Mamit, Mizoram",downpour,medium,unknown,India,Mizoram,23.7705,92.5217,4.0,
4757,2013-02-18 00:00:00,"East Siang, Arunachal Pradesh",rain,medium,unknown,India,Arunachal Pradesh,28.1193,95.1645,3.0,2.0
4798,2013-04-07 00:00:00,"Dibang Valley, Arunachal Pradesh",rain,medium,unknown,India,Arunachal Pradesh,28.8254,96.1509,,
4845,2013-05-07 00:00:00,"Kolasib, Saiha, Mizoram,",rain,medium,unknown,India,Mizoram,24.2315,92.6755,,
4848,2013-05-08 00:00:00,"Purba Simna, Tripura",rain,medium,unknown,India,Tripura,24.0896,91.4663,1.0,
4860,2013-05-11 00:00:00,"Boragaon, North Guwahati, Guwahati, Assam,",rain,medium,unknown,India,Assam,26.1016,91.6906,,
4859,2013-05-11 00:00:00,"Sarania Hills, North Guwahati, Guwahati, Assam,",rain,medium,unknown,India,Assam,26.1771,91.7599,,1.0
4858,2013-05-11 09:00:00,"Nursery, North Guwahati, Guwahati, Assam,",rain,medium,unknown,India,Assam,26.1662,91.7138,,
4857,2013-05-11 09:00:00,"Laipuitland , Aizawl, Mizoram",rain,large,unknown,India,Mizoram,23.7281,92.7175,15.0,
4861,2013-05-12 00:00:00,"Khongsang, Tamenglong, Manipur,",rain,medium,unknown,India,Assam,24.9926,93.4946,,
4892,2013-06-01 00:00:00,Upper Subansiri,downpour,large,unknown,India,Arunachal Pradesh,27.8776,94.25,,
4906,2013-06-07 00:00:00,"Helipong-Chessore Road, Nagaland",unknown,medium,unknown,India,Nagaland,26.0977,94.7499,,
4905,2013-06-07 00:00:00,"Kuthur – Huker Road Via Y Anner, Chessore, Nagaland",unknown,medium,unknown,India,Nagaland,26.0977,94.7031,,
4908,2013-06-08 17:00:00,"15 Km From Gangtok, Himalayans",downpour,medium,unknown,India,Sikkim,27.3721,88.708,0.0,
4990,2013-06-27 23:00:00,"Near Changu Lake, 15Km Away From Nathu La, On India-China Border In Eastern Sikkim",downpour,medium,unknown,India,Sikkim,27.3765,88.7628,0.0,
