sample_id,sample_date,state,latitude,longitude,target
BG_2420,2010-05-11,Mizoram,23.72988966,92.71495623,0
BG_2425,2007-09-10,Mizoram,23.3439,93.0748,0
BG_2423,2010-04-21,Mizoram,23.73504471,92.71060943,0
BG_2424,2007-05-18,Mizoram,23.591,92.9296,0
BG_2426,2010-04-19,Mizoram,22.7176,92.8416,0
BG_2422,2010-04-17,Mizoram,23.74182634,92.7141905,0
BG_2421,2010-04-15,Mizoram,23.75406693,92.74128531,0
BG_2437,2009-09-14,Mizoram,23.7527,92.694,0
BG_2436,2008-08-15,Mizoram,24.3069,93.125,0
BG_2539,2009-10-05,Arunachal Pradesh,28.3092,95.4149,0
BG_2569,2007-10-13,Nagaland,25.2745,94.0212,0
BG_2570,2010-04-15,Manipur,24.837,93.9128,0
BG_2566,2009-08-07,Nagaland,25.4769,94.1351,0
BG_2567,2008-08-12,Manipur,25.6633,94.4703,0
BG_2568,2008-08-25,Assam,24.7679,93.4108,0
BG_2576,2009-08-10,Nagaland,25.4788,94.1399,0
BG_2575,2007-07-12,Assam,25.5242,92.9914,0
BG_2579,2007-08-25,Nagaland,25.682,94.1076,0
BG_2578,2007-09-25,Nagaland,25.3179,94.0462,0
BG_2577,2007-07-30,Nagaland,25.5265,93.8673,0
BG_2573,2008-08-07,Assam,25.1796,93.0083,0
BG_2574,2009-09-15,Assam,25.4749,93.1477,0
BG_2587,2009-09-12,Nagaland,25.6623,94.1072,0
BG_2743,2008-08-15,Arunachal Pradesh,27.5798729,91.85672387,0
BG_3269,2010-05-29,Arunachal Pradesh,28.0791,96.5242,0
BG_3525,2009-08-09,Assam,25.0672,93.4093,0
BG_3532,2007-07-22,Assam,25.0888,92.8551,0
BG_3556,2010-04-11,Manipur,25.1555,93.8474,0
BG_3560,2009-08-11,Manipur,24.8286,93.5935,0
BG_3633,2009-08-27,Nagaland,26.3186,94.5121,0
BG_3637,2009-08-09,Nagaland,25.51614662,94.2341227,0
BG_3663,2009-08-06,Nagaland,25.6682,94.1099,0
BG_3662,2007-07-25,Manipur,25.03561729,94.0144205,0
BG_3672,2009-08-07,Assam,25.5125,93.3613,0
BG_3683,2010-04-19,Nagaland,25.8782,94.1739,0
BG_3738,2007-10-19,Manipur,24.8063,93.9482,0
BG_3741,2009-08-19,Nagaland,25.4191,94.1079,0
BG_3760,2007-07-10,Nagaland,25.6703,94.1095,0
BG_3776,2008-06-04,Arunachal Pradesh,27.125,93.7145,0
BG_3789,2008-08-07,Arunachal Pradesh,27.2743,92.9064,0
BG_3794,2010-07-04,Sikkim,26.99195749,88.42280921,0
BG_3805,2007-09-14,Sikkim,27.05374234,88.42572376,0
BG_3806,2007-10-13,Arunachal Pradesh,27.1032,93.6884,0
BG_3830,2008-06-19,Manipur,24.3527,94.3429,0
BG_3831,2010-07-13,Manipur,24.7992,93.948,0
BG_3837,2010-05-29,Assam,26.5836,93.0038,0
BG_3840,2007-07-11,Manipur,24.6869,93.9157,0
BG_3860,2007-09-18,Nagaland,25.4192,94.108,0
BG_3881,2010-05-08,Arunachal Pradesh,27.1034,93.6885,0
BG_3912,2007-07-17,Arunachal Pradesh,27.44,92.2833,0
BG_3916,2010-05-29,Assam,25.7713,93.8067,0
BG_3925,2007-10-14,Arunachal Pradesh,27.4888,93.0153,0
BG_3927,2010-06-13,Meghalaya,25.5144,90.2167,0
BG_3932,2007-10-17,Nagaland,25.83,94.13,0
BG_3965,2008-08-06,Assam,24.808,93.117,0
BG_3983,2009-09-13,Assam,26.1548,91.7351,0
BG_4241,2007-08-22,Manipur,25.1604,93.6795,0
BG_4313,2009-08-07,Arunachal Pradesh,28.4659,95.86,0
BG_4378,2008-08-25,Arunachal Pradesh,28.8254,96.1517,0
BG_4377,2010-04-16,Assam,26.1475,91.7356,0
BG_4382,2013-07-12,Assam,25.1175,92.8573,0
BG_4383,2009-09-14,Assam,25.3056,93.1265,0
BG_4384,2008-06-19,Assam,25.1775,93.0123,0
BG_4394,2008-06-18,Sikkim,27.1748,88.6458,0
BG_4403,2008-08-02,Manipur,24.8142,93.5444,0
BG_4407,2010-05-06,Assam,25.0951,92.3567,0
BG_4408,2008-05-16,Meghalaya,25.5498,92.0757,0
BG_4411,2007-09-02,Sikkim,27.339,88.6065,0
BG_4424,2008-05-19,Assam,26.149,91.7351,0
BG_4426,2007-05-22,Assam,26.1226,91.7162,0
BG_4435,2007-07-28,Arunachal Pradesh,27.174,95.8011,0
BG_4436,2007-07-24,Arunachal Pradesh,26.9986,95.4993,0
BG_4434,2010-04-13,Assam,26.1049,91.7369,0
BG_4446,2010-03-24,Arunachal Pradesh,28.9986,94.8885,0
BG_4552,2009-10-03,Sikkim,27.0377,88.3603,0
BG_4556,2008-08-13,Sikkim,27.1675,88.3651,0
BG_4570,2010-03-23,Arunachal Pradesh,27.8458,95.2253,0
BG_4610,2007-08-31,Mizoram,23.7705,92.5217,0
BG_4757,2010-06-09,Arunachal Pradesh,28.1193,95.1645,0
BG_4798,2008-08-24,Arunachal Pradesh,28.8254,96.1509,0
BG_4845,2010-06-22,Mizoram,24.2315,92.6755,0
BG_4848,2007-08-29,Tripura,24.0896,91.4663,0
BG_4860,2008-08-23,Assam,26.1016,91.6906,0
BG_4859,2009-10-03,Assam,26.1771,91.7599,0
BG_4858,2008-08-23,Assam,26.1662,91.7138,0
BG_4857,2008-08-09,Mizoram,23.7281,92.7175,0
BG_4861,2007-09-02,Assam,24.9926,93.4946,0
BG_4892,2008-06-12,Arunachal Pradesh,27.8776,94.25,0
BG_4906,2007-09-24,Nagaland,26.0977,94.7499,0
BG_4905,2007-10-19,Nagaland,26.0977,94.7031,0
BG_4908,2009-09-30,Sikkim,27.3721,88.708,0
BG_4990,2009-08-26,Sikkim,27.3765,88.7628,0
BG_5005,2009-08-20,Nagaland,26.72,95.029,0
BG_5006,2008-06-07,Nagaland,26.1147,94.3864,0
BG_5087,2010-06-27,Nagaland,25.6269,94.1139,0
BG_5084,2007-07-24,Nagaland,25.616,94.1167,0
BG_5107,2008-05-20,Nagaland,25.6269,94.1139,0
BG_5123,2007-08-20,Nagaland,25.7131,94.0885,0
BG_5122,2008-05-20,Nagaland,25.7658,93.9413,0
BG_5250,2010-06-28,Arunachal Pradesh,27.8837,93.0515,0
BG_5269,2008-06-09,Nagaland,25.8376,94.5234,0
BG_5275,2010-06-11,Nagaland,26.1498,94.6055,0
BG_5272,2008-08-23,Nagaland,26.2083,94.5438,0
BG_5271,2009-10-04,Nagaland,26.284,94.5808,0
BG_5268,2008-08-12,Nagaland,26.0137,94.5163,0
BG_5270,2007-10-10,Nagaland,26.0481,94.4619,0
BG_5274,2010-04-11,Nagaland,26.0838,94.564,0
BG_5273,2010-07-01,Nagaland,26.1807,94.5497,0
BG_5300,2007-10-10,Nagaland,25.318,94.0441,0
BG_5312,2010-04-15,Assam,26.7103,94.693,0
BG_5427,2007-09-29,Nagaland,25.3833,94.1884,0
BG_5337,2010-03-23,Nagaland,26.4205,94.9731,0
BG_5338,2010-04-17,Assam,26.8727,94.9275,0
BG_5336,2008-08-10,Nagaland,26.3897,94.9439,0
BG_5343,2010-03-28,Assam,24.7625,93.4341,0
BG_5421,2007-10-12,Nagaland,26.4205,94.9731,0
BG_5430,2007-07-22,Manipur,24.9037,93.487,0
BG_5431,2007-07-26,Assam,24.9829,93.5063,0
BG_5429,2008-08-09,Sikkim,27.3425,88.2426,0
BG_5442,2010-06-10,Arunachal Pradesh,27.1614,93.7525,0
BG_5441,2007-08-23,Arunachal Pradesh,28.611,94.9829,0
BG_5476,2008-08-11,Sikkim,27.3736,88.7323,0
BG_5552,2009-10-05,Manipur,25.0985,94.3619,0
BG_5575,2007-09-11,Nagaland,25.8266,94.1497,0
BG_5584,2010-03-24,Assam,26.1665,91.7049,0
BG_5582,2007-10-20,Assam,26.1309,91.8383,0
BG_5603,2010-05-05,Manipur,25.426,94.6024,0
BG_6015,2009-08-12,Arunachal Pradesh,27.9032,96.174,0
BG_6016,2008-10-28,Assam,24.8669,92.3576,0
BG_6105,2007-09-04,Arunachal Pradesh,28.9205,95.3429,0
BG_6106,2008-08-13,Assam,26.1407,91.7645,0
BG_6107,2010-05-30,Assam,26.1844,91.7896,0
BG_6110,2007-05-21,Assam,26.1619,91.7697,0
BG_6112,2010-04-02,Assam,26.1964,91.7652,0
BG_6143,2008-08-22,Mizoram,23.7327,92.7463,0
BG_6513,2010-03-23,Tripura,23.0137,91.7174,0
BG_6200,2009-09-14,Arunachal Pradesh,27.0869,93.6086,0
BG_6331,2008-08-05,Nagaland,25.9466,94.6279,0
BG_6291,2007-10-21,Meghalaya,25.7354,90.3852,0
BG_6286,2009-08-25,Assam,26.1044,91.7082,0
BG_6282,2007-08-26,Assam,26.1097,91.7747,0
BG_6287,2009-08-14,Assam,26.1295,91.7056,0
BG_6289,2007-07-26,Assam,26.1001,91.6849,0
BG_6283,2009-08-30,Assam,26.1314,91.7548,0
BG_6285,2009-08-25,Assam,26.159,91.8178,0
BG_6288,2007-07-23,Assam,26.1985,91.7998,0
BG_6284,2010-04-02,Assam,26.1324,91.8342,0
BG_6292,2008-08-02,Assam,25.7238,89.9032,0
BG_6290,2010-04-17,Meghalaya,25.5772,91.8666,0
BG_6213,2007-07-13,Meghalaya,25.8143,90.5763,0
BG_6222,2007-09-05,Arunachal Pradesh,27.1249,93.7706,0
BG_6214,2008-08-23,Meghalaya,25.9702,91.8587,0
BG_6293,2007-09-07,Meghalaya,25.5006,90.0896,0
BG_6775,2008-05-18,Assam,26.1468,91.6469,0
BG_6786,2009-09-13,Assam,24.6108,92.562,0
BG_7591,2007-08-27,Assam,25.0318,92.4584,0
BG_7031,2009-09-17,Sikkim,27.6163,88.6586,0
BG_6971,2007-07-28,Arunachal Pradesh,27.0987,93.816,0
BG_6968,2007-09-04,Meghalaya,25.463,92.2121,0
BG_6970,2009-08-15,Meghalaya,25.5084,90.2191,0
BG_6969,2010-04-18,Meghalaya,25.5114,90.215,0
BG_6945,2007-09-03,Manipur,25.16,93.686,0
BG_6963,2007-10-18,Mizoram,23.7131,92.7362,0
BG_6990,2010-06-15,Nagaland,26.0319,94.5466,0
BG_7138,2010-07-06,Sikkim,27.0816,88.4397,0
BG_7214,2009-08-14,Arunachal Pradesh,27.36,93.0385,0
BG_7265,2008-08-09,Manipur,25.5007,93.9854,0
BG_7253,2008-06-04,Assam,24.7979,92.9974,0
BG_7267,2009-08-21,Manipur,25.3908,94.0926,0
BG_7264,2009-08-16,Manipur,25.4538,93.9827,0
BG_7263,2007-10-17,Manipur,25.4477,94.0489,0
BG_7266,2007-05-22,Manipur,25.5098,93.8794,0
BG_7279,2007-08-28,Manipur,24.9818,93.5142,0
BG_7276,2010-06-27,Assam,26.1062,91.8717,0
BG_7364,2008-08-02,Manipur,24.819,94.3551,0
BG_7372,2008-08-18,Manipur,25.0634,94.3415,0
BG_7389,2008-08-14,Manipur,24.4072,94.0644,0
BG_7371,2010-04-16,Manipur,23.9939,94.0573,0
BG_7374,2007-07-18,Manipur,25.1122,94.3591,0
BG_7385,2007-07-23,Manipur,24.004,93.9815,0
BG_7369,2007-10-13,Manipur,24.1988,94.1016,0
BG_7373,2008-08-19,Manipur,24.9111,94.4759,0
BG_7390,2009-09-16,Manipur,24.4265,94.1913,0
BG_7384,2008-08-22,Manipur,23.9278,94.0906,0
BG_7375,2008-08-08,Manipur,25.1941,94.4481,0
BG_7370,2010-06-22,Manipur,24.1419,94.1078,0
BG_7910,2007-08-31,Manipur,24.3481,94.1146,0
BG_7383,2009-08-10,Manipur,23.899,94.1434,0
BG_7388,2008-10-27,Manipur,24.416,94.0984,0
BG_7387,2008-08-16,Manipur,24.954,94.2156,0
BG_7409,2010-05-05,Nagaland,25.72,94.6219,0
BG_7664,2007-10-10,Manipur,24.7459,93.4251,0
BG_7666,2010-06-26,Manipur,25.1019,93.3729,0
BG_7665,2008-05-18,Manipur,24.7016,93.5291,0
BG_7660,2008-10-28,Nagaland,25.6237,94.1136,0
BG_7887,2008-08-29,Arunachal Pradesh,27.8835,96.9262,0
BG_7334,2010-05-28,Arunachal Pradesh,28.1737,94.7596,0
BG_7335,2008-08-07,Meghalaya,25.5145,90.2023,0
BG_7699,2007-10-15,Nagaland,26.0214,94.5224,0
BG_7706,2007-05-22,Meghalaya,25.0728,92.3636,0
BG_7590,2008-06-08,Meghalaya,25.1416,92.3807,0
BG_7589,2010-05-09,Meghalaya,25.2568,92.3825,0
BG_7336,2007-05-19,Meghalaya,25.2193,90.5549,0
BG_7701,2010-06-08,Nagaland,25.6278,94.1051,0
BG_7727,2008-10-27,Nagaland,25.6263,94.1057,0
BG_7728,2007-08-26,Assam,26.1028,91.8806,0
BG_7780,2007-10-19,Mizoram,23.3572,92.7878,0
BG_7778,2009-08-06,Mizoram,23.8447,93.0514,0
BG_7836,2008-05-14,Mizoram,24.042,92.6724,0
BG_7837,2007-07-29,Mizoram,23.7269,92.7265,0
BG_7972,2009-09-14,Mizoram,23.4495,92.8112,0
BG_7933,2009-09-16,Assam,26.1868,91.6739,0
BG_7923,2007-08-20,Assam,26.49349035,91.72137514,0
BG_7956,2007-10-14,Meghalaya,26.048,91.8695,0
BG_8012,2007-09-25,Meghalaya,25.9703,91.8584,0
BG_8224,2009-09-13,Mizoram,23.7313,92.7187,0
BG_8223,2010-03-26,Mizoram,23.7348,92.7187,0
BG_8339,2010-03-25,Assam,26.1666,91.7042,0
BG_8366,2010-06-23,Meghalaya,25.583,91.893,0
BG_9405,2010-04-12,Nagaland,26.7223,95.0243,0
BG_7655,2008-05-15,Arunachal Pradesh,27.5799,91.8569,0
BG_9404,2007-07-29,Arunachal Pradesh,28.0822,96.5316,0
BG_9338,2009-08-22,Assam,24.4638,92.4943,0
BG_9335,2010-06-13,Assam,24.5202,92.7239,0
BG_9336,2010-07-02,Assam,24.5308,92.5121,0
BG_9334,2007-09-17,Assam,24.5204,92.7264,0
BG_9169,2007-09-23,Nagaland,26.1677,94.2442,0
BG_9168,2007-07-12,Arunachal Pradesh,27.6438,93.871,0
BG_9142,2007-08-26,Nagaland,26.3185,94.5247,0
BG_8222,2009-08-06,Assam,26.1961,91.7825,0
BG_8237,2008-10-28,Arunachal Pradesh,27.0136,92.6351,0
BG_8684,2008-06-10,Assam,25.9611,91.3681,0
BG_8900,2007-10-21,Manipur,25.0118,94.3136,0
BG_8901,2010-05-10,Nagaland,25.7902,94.1318,0
BG_8930,2008-08-12,Nagaland,26.1699,94.4922,0
BG_8996,2010-05-05,Assam,26.1768,91.7702,0
BG_8995,2010-06-30,Assam,26.1963,91.8074,0
BG_9010,2008-05-15,Arunachal Pradesh,27.3034,93.804,0
BG_9124,2007-09-11,Meghalaya,25.203,90.5573,0
BG_9087,2010-06-26,Arunachal Pradesh,28.235,94.9612,0
BG_9051,2009-08-27,Meghalaya,26.09748244,91.8744337,0
BG_9122,2007-10-16,Assam,26.1966,91.802,0
BG_9186,2009-08-24,Manipur,25.48,94.1383,0
BG_9219,2008-08-28,Nagaland,26.0101,94.5282,0
BG_9252,2010-06-11,Arunachal Pradesh,27.5748,91.8644,0
BG_9232,2007-09-28,Mizoram,23.5397,93.3783,0
BG_9251,2010-07-06,Nagaland,25.8702,94.7844,0
BG_9464,2010-06-22,Arunachal Pradesh,27.5754,91.9754,0
BG_9604,2007-09-05,Sikkim,27.2676,88.2891,0
BG_9619,2007-08-31,Sikkim,27.1695,88.3664,0
BG_9620,2008-10-25,Sikkim,27.172,88.5292,0
